date,weekday,restaurant,menu_text,is_closed
2026-06-16,화,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 불고기열무김치비빔밥 (소:호주산,얼갈이:국내산) 꼬치어묵국 통살새우까스 도토리묵무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000 방중 휴무 석식 오므라이스&그릴소세지 (돼지:국내산) 김말이깐풍 샐러드 배추김치 (배추,고춧가루:국내산) 쁘띠첼복숭아푸딩 ￦7,000",False
2026-06-17,수,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)매콤콩나물불고기 &떡사리 / [중식 A코너 6,500원] 쌀밥 청파래오징어가스 우엉채소볶음 배추김치 / [중식 특별코너] 우삼겹마라탕면 / [중식 B코너 7,500원] 계란볶음밥 청파래오징어가스 오이탕탕이 배추김치 / (뚝)매콤콩나물불고기 &떡사리 / [석식 6,500원] 쌀밥 너비아니채소구이 계란말이 배추김치",False
2026-06-17,수,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 김치볶음밥*생선까스 (돼지:국내산/배추,고추분:국내산) 5,500원 일식커리*치킨가라아게 (닭:브라질산) 5,500원 ** 중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-17,수,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-17,수,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-17,수,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 왕등심돈까스 (돼지:국내산) 쫄면무침 오이부추무침 샐러드 배추김치 (배추,고춧가루:국내산) 탄산음료(캔) ￦7,000 방중 휴무 석식 고기국수(뚝) (돼지:국내산) 왕만두 아삭이고추된장무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-18,목,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)쇠고기된장찌개 / [중식 A코너 6,500원] 쌀밥 모둠장조림 쉬라즈샐러드 배추김치 / [중식 특별코너] 육쌈쫄면 / [중식 B코너 7,500원] 날치알김가루양념밥 갈비만두찜 배추김치 사이다 / (뚝)쇠고기된장찌개 / [석식 6,500원] 쌀밥 모둠장조림 쉬라즈샐러드 배추김치",False
2026-06-18,목,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 통등심돈까스 (돼지:국내산) 6,500원 묵은지감자탕 (돼지:국내산/배추,고추분:국내산) 두부조림 (대두:외국산) 5,500원 **중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-18,목,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-18,목,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
